comment,date,downvotes,gender,location,search,upvotes,user,video,views,cleancomment,sex,sexuality,stem,lemma
Would like being there....,2019-11-25 21:43:53 UTC,9,"Male, Heterosexual",Germany,POV,358,https://xhamster.com/users/vivosterling,https://xhamster.com/videos/penis-pleasuring-penny-pax-spits-licks-sucks-fucks-cock-12633019,82704,Would like being there ,Male,Heterosexual,"['would', 'like']","['would', 'like']"
Love PP,2019-11-15 20:49:56 UTC,9,"Transgender MtF, Bisexual",United Kingdom,POV,358,https://xhamster.com/users/sexxiishellycd,https://xhamster.com/videos/penis-pleasuring-penny-pax-spits-licks-sucks-fucks-cock-12633019,82704,Love PP,Transgender MtF,Bisexual,"['love', 'pp']","['love', 'pp']"
Instant boner. What a girl and the guy has a lovely fat cock. Her spilling the load at the end was awesome. ,2019-11-06 13:34:25 UTC,9,"Male, Heterosexual",United Kingdom,POV,358,https://xhamster.com/users/tayguy33,https://xhamster.com/videos/penis-pleasuring-penny-pax-spits-licks-sucks-fucks-cock-12633019,82704,Instant boner What a girl and the guy has a lovely fat cock Her spilling the load at the end was awesome ,Male,Heterosexual,"['instant', 'boner', 'girl', 'guy', 'love', 'fat', 'cock', 'spill', 'load', 'end', 'awesom']","['instant', 'boner', 'girl', 'guy', 'lovely', 'fat', 'cock', 'spill', 'load', 'end', 'awesome']"
sexy girl,2019-11-06 12:20:25 UTC,9,"Male, Heterosexual",United States,POV,358,https://xhamster.com/users/barberpole,https://xhamster.com/videos/penis-pleasuring-penny-pax-spits-licks-sucks-fucks-cock-12633019,82704,sexy girl,Male,Heterosexual,"['sexi', 'girl']","['sexy', 'girl']"
du bon sperme comme ça moi je voudrai bien l'avaler ,2019-11-06 12:11:14 UTC,9,"Male, Bisexual",France,POV,358,https://xhamster.com/users/nono7535,https://xhamster.com/videos/penis-pleasuring-penny-pax-spits-licks-sucks-fucks-cock-12633019,82704,du bon sperme comme a moi je voudrai bien l avaler ,Male,Bisexual,"['du', 'bon', 'sperm', 'comm', 'moi', 'je', 'voudrai', 'bien', 'l', 'aval']","['du', 'bon', 'sperme', 'comme', 'moi', 'je', 'voudrai', 'bien', 'l', 'avaler']"
so hot,2019-11-05 12:43:37 UTC,9,"Male, Heteroflexible",Germany,POV,358,https://xhamster.com/users/scorpionsting1964,https://xhamster.com/videos/penis-pleasuring-penny-pax-spits-licks-sucks-fucks-cock-12633019,82704,so hot,Male,Heteroflexible,['hot'],['hot']
nutte,2019-10-31 21:43:25 UTC,9,"Male, Heterosexual",Germany,POV,358,https://xhamster.com/users/bunnystecha,https://xhamster.com/videos/penis-pleasuring-penny-pax-spits-licks-sucks-fucks-cock-12633019,82704,nutte,Male,Heterosexual,['nutt'],['nutte']
Oh yes baby you are the best of all,2019-10-31 20:17:05 UTC,9,"Male, Heterosexual",Germany,POV,358,https://xhamster.com/users/rabenschrei,https://xhamster.com/videos/penis-pleasuring-penny-pax-spits-licks-sucks-fucks-cock-12633019,82704,Oh yes baby you are the best of all,Male,Heterosexual,"['oh', 'ye', 'babi', 'best']","['oh', 'yes', 'baby', 'best']"
She could not be hotter.,2019-10-20 20:12:52 UTC,9,"Male, Bisexual",United States,POV,358,https://xhamster.com/users/bobnyc,https://xhamster.com/videos/penis-pleasuring-penny-pax-spits-licks-sucks-fucks-cock-12633019,82704,She could not be hotter ,Male,Bisexual,"['could', 'hotter']","['could', 'hotter']"
du bist super geil.,2019-10-19 06:31:22 UTC,9,"Male, Bisexual",Germany,POV,358,https://xhamster.com/users/mobibi09,https://xhamster.com/videos/penis-pleasuring-penny-pax-spits-licks-sucks-fucks-cock-12633019,82704,du bist super geil ,Male,Bisexual,"['du', 'bist', 'super', 'geil']","['du', 'bist', 'super', 'geil']"
",,,,,, j'adore GANGBANG creampie & BUKKAKE dogging ,,,,,,,,,,,,, j'adore GANGBANG creampie & BUKKAKE dogging ,,,,,,,,,,,,, j'adore GANGBANG creampie & BUKKAKE dogging ,,,,,,,,,,,,, j'adore GANGBANG creampie & BUKKAKE dogging ,,,,,,,,,,,,, j'adore GANGBANG creampie & BUKKAKE dogging ,,,,,,,,,,,,, j'adore GANGBANG creampie & BUKKAKE dogging ,,,,,,,,,,,,, j'adore GANGBANG creampie & BUKKAKE dogging ,,,,,,,",2019-10-18 10:17:36 UTC,9,"Female, Heterosexual",France,POV,358,https://xhamster.com/users/anybukkake2,https://xhamster.com/videos/penis-pleasuring-penny-pax-spits-licks-sucks-fucks-cock-12633019,82704, j adore GANGBANG creampie BUKKAKE dogging j adore GANGBANG creampie BUKKAKE dogging j adore GANGBANG creampie BUKKAKE dogging j adore GANGBANG creampie BUKKAKE dogging j adore GANGBANG creampie BUKKAKE dogging j adore GANGBANG creampie BUKKAKE dogging j adore GANGBANG creampie BUKKAKE dogging ,Female,Heterosexual,"['j', 'ador', 'gangbang', 'creampi', 'bukkak', 'dog', 'j', 'ador', 'gangbang', 'creampi', 'bukkak', 'dog', 'j', 'ador', 'gangbang', 'creampi', 'bukkak', 'dog', 'j', 'ador', 'gangbang', 'creampi', 'bukkak', 'dog', 'j', 'ador', 'gangbang', 'creampi', 'bukkak', 'dog', 'j', 'ador', 'gangbang', 'creampi', 'bukkak', 'dog', 'j', 'ador', 'gangbang', 'creampi', 'bukkak', 'dog']","['j', 'adore', 'gangbang', 'creampie', 'bukkake', 'dog', 'j', 'adore', 'gangbang', 'creampie', 'bukkake', 'dog', 'j', 'adore', 'gangbang', 'creampie', 'bukkake', 'dog', 'j', 'adore', 'gangbang', 'creampie', 'bukkake', 'dog', 'j', 'adore', 'gangbang', 'creampie', 'bukkake', 'dog', 'j', 'adore', 'gangbang', 'creampie', 'bukkake', 'dog', 'j', 'adore', 'gangbang', 'creampie', 'bukkake', 'dog']"
Nice,2019-10-17 13:38:02 UTC,9,"Male, Heterosexual",Czech Republic,POV,358,https://xhamster.com/users/magicstickk,https://xhamster.com/videos/penis-pleasuring-penny-pax-spits-licks-sucks-fucks-cock-12633019,82704,Nice,Male,Heterosexual,['nice'],['nice']
Beste,2019-10-17 09:55:48 UTC,9,"Male, Heterosexual",Germany,POV,358,https://xhamster.com/users/skkiavo,https://xhamster.com/videos/penis-pleasuring-penny-pax-spits-licks-sucks-fucks-cock-12633019,82704,Beste,Male,Heterosexual,['best'],['beste']
Good flick.  Nice set of hangers.  He filled her mouth up with cum in a nice fashion.,2019-10-16 11:38:02 UTC,9,"Male, Heterosexual",United States,POV,358,https://xhamster.com/users/roosterc74,https://xhamster.com/videos/penis-pleasuring-penny-pax-spits-licks-sucks-fucks-cock-12633019,82704,Good flick Nice set of hangers He filled her mouth up with cum in a nice fashion ,Male,Heterosexual,"['good', 'flick', 'nice', 'set', 'hanger', 'fill', 'mouth', 'cum', 'nice', 'fashion']","['good', 'flick', 'nice', 'set', 'hanger', 'fill', 'mouth', 'cum', 'nice', 'fashion']"
great,2019-10-16 10:36:43 UTC,9,"Male, Heteroflexible",Germany,POV,358,https://xhamster.com/users/scorpionsting1964,https://xhamster.com/videos/penis-pleasuring-penny-pax-spits-licks-sucks-fucks-cock-12633019,82704,great,Male,Heteroflexible,['great'],['great']
Excellent,2019-10-16 09:26:16 UTC,9,"Male, Heterosexual",Germany,POV,358,https://xhamster.com/users/eugen1433,https://xhamster.com/videos/penis-pleasuring-penny-pax-spits-licks-sucks-fucks-cock-12633019,82704,Excellent,Male,Heterosexual,['excel'],['excellent']
Good girl,2019-10-16 05:41:47 UTC,9,"Male, Heterosexual",Germany,POV,358,https://xhamster.com/users/geilerspritzercb,https://xhamster.com/videos/penis-pleasuring-penny-pax-spits-licks-sucks-fucks-cock-12633019,82704,Good girl,Male,Heterosexual,"['good', 'girl']","['good', 'girl']"
Christ . Gtg to the bathroom brb,2019-10-16 05:12:06 UTC,9,"Male, Heterosexual",United States,POV,358,https://xhamster.com/users/izzytoro55,https://xhamster.com/videos/penis-pleasuring-penny-pax-spits-licks-sucks-fucks-cock-12633019,82704,Christ Gtg to the bathroom brb,Male,Heterosexual,"['christ', 'gtg', 'bathroom', 'brb']","['christ', 'gtg', 'bathroom', 'brb']"
Awesome,2019-10-16 03:55:21 UTC,9,"Male, Heterosexual",United States,POV,358,https://xhamster.com/users/wood4000,https://xhamster.com/videos/penis-pleasuring-penny-pax-spits-licks-sucks-fucks-cock-12633019,82704,Awesome,Male,Heterosexual,['awesom'],['awesome']
so hott. I'd fuck her too,2019-12-04 17:46:04 UTC,11,"Male, Heterosexual",United States,POV,597,https://xhamster.com/users/coolguyva,https://xhamster.com/videos/busty-sis-has-pussy-stretched-by-bro-s-huge-dick-12663520,182894,so hott I d fuck her too,Male,Heterosexual,"['hott', 'fuck']","['hott', 'fuck']"
Beautiful lady.  Great movie...until the fake O.,2019-11-22 04:36:10 UTC,11,"Male, Heterosexual",United States,POV,597,https://xhamster.com/users/55431e45th,https://xhamster.com/videos/busty-sis-has-pussy-stretched-by-bro-s-huge-dick-12663520,182894,Beautiful lady Great movie until the fake O ,Male,Heterosexual,"['beauti', 'ladi', 'great', 'movi', 'fake']","['beautiful', 'lady', 'great', 'movie', 'fake']"
Was für eine Sahneschnitte. Geile gepiercte dicke Titten und eine super feuchte hervorstechende Votze mit geilen Schamlippen und einem V-förmigen Haarschnitt.,2019-11-17 21:49:05 UTC,11,"Male, Heterosexual",Germany,POV,597,https://xhamster.com/users/geiler_kobold,https://xhamster.com/videos/busty-sis-has-pussy-stretched-by-bro-s-huge-dick-12663520,182894,Was f r eine Sahneschnitte Geile gepiercte dicke Titten und eine super feuchte hervorstechende Votze mit geilen Schamlippen und einem V f rmigen Haarschnitt ,Male,Heterosexual,"['f', 'r', 'ein', 'sahneschnitt', 'geil', 'gepierct', 'dick', 'titten', 'und', 'ein', 'super', 'feucht', 'hervorstechend', 'votz', 'mit', 'geilen', 'schamlippen', 'und', 'einem', 'v', 'f', 'rmigen', 'haarschnitt']","['f', 'r', 'eine', 'sahneschnitte', 'geile', 'gepiercte', 'dicke', 'titten', 'und', 'eine', 'super', 'feuchte', 'hervorstechende', 'votze', 'mit', 'geilen', 'schamlippen', 'und', 'einem', 'v', 'f', 'rmigen', 'haarschnitt']"
i can like it more?,2019-11-17 21:05:59 UTC,11,"Female, Heterosexual",United States,POV,597,https://xhamster.com/users/denise-sc,https://xhamster.com/videos/busty-sis-has-pussy-stretched-by-bro-s-huge-dick-12663520,182894,i can like it more ,Female,Heterosexual,['like'],['like']
